Priority,Date,Show,Episode,Direct YouTube URL,URL Status,Confidence,Backfilled To Metadata,Notes,Run Command
1,2026-07-21,Sharp or Square,NFL TRAINING CAMP QUESTIONS with Ben Solak of ESPN,https://www.youtube.com/watch?v=AMS0ckHohNU,Verified,High,Yes,Already used for live-youtube smoke test,"node scripts\gemini-podcast-shadow-harness.js --episode 2026-07-21-sharp-or-square-nfl-training-camp-questions-with-ben-solak-of-espn --live-youtube"
2,2026-03-03,Sharp or Square,EARLY 2026 NFL SEASON WIN TOTALS - Part 1,,Needed,,No,,"node scripts\gemini-podcast-shadow-harness.js --episode 2026-03-03-sharp-or-square-early-2026-nfl-season-win-totals-part-1 --live-youtube --youtube-url ""PASTE_URL_HERE"""
3,2026-03-19,Sharp or Square,NFL SEASON WIN TOTALS Part 2,,Needed,,No,,"node scripts\gemini-podcast-shadow-harness.js --episode 2026-03-19-sharp-or-square-nfl-season-win-totals-part-2 --live-youtube --youtube-url ""PASTE_URL_HERE"""
4,2026-07-07,Sharp or Square,NFL PLAYOFF BETTING PREDICTIONS,,Needed,,No,,"node scripts\gemini-podcast-shadow-harness.js --episode 2026-07-07-sharp-or-square-nfl-playoff-betting-predictions --live-youtube --youtube-url ""PASTE_URL_HERE"""
5,2026-07-01,BettingPros Podcast,2026 NFL Week 1 Betting Predictions | Sharp Picks Before the Market Adjusts (Ep. 1013),,Needed,,No,,"node scripts\gemini-podcast-shadow-harness.js --episode 2026-07-01-bettingpros-podcast-2026-nfl-week-1-betting-predictions-sharp-picks-before-the-market-adjusts-ep-1013 --live-youtube --youtube-url ""PASTE_URL_HERE"""
6,2026-05-28,Sharp or Square,NFL WEEK 1 BETTING LINES - 2026 Regular Season Openers,,Needed,,No,,"node scripts\gemini-podcast-shadow-harness.js --episode 2026-05-28-sharp-or-square-nfl-week-1-betting-lines-2026-regular-season-openers --live-youtube --youtube-url ""PASTE_URL_HERE"""
7,2026-07-15,BettingPros Podcast,NFL Futures Betting: Our Favorite Long Shot Picks for the 2026 Season (Ep. 1018),,Needed,,No,,"node scripts\gemini-podcast-shadow-harness.js --episode 2026-07-15-bettingpros-podcast-nfl-futures-betting-our-favorite-long-shot-picks-for-the-2026-season-ep-1018 --live-youtube --youtube-url ""PASTE_URL_HERE"""
8,2026-07-08,BettingPros Podcast,"NFL Futures Picks 2026: Best Bets for Passing, Rushing & Receiving Leaders (Ep. 1016)",,Needed,,No,,"node scripts\gemini-podcast-shadow-harness.js --episode 2026-07-08-bettingpros-podcast-nfl-futures-picks-2026-best-bets-for-passing-rushing-and-receiving-leaders-ep-1016 --live-youtube --youtube-url ""PASTE_URL_HERE"""
9,2026-07-16,The Favorites,All Things NFL Injuries with Pro Football Doc David Chao,,Needed,,No,,"node scripts\gemini-podcast-shadow-harness.js --episode 2026-07-16-the-favorites-all-things-nfl-injuries-with-pro-football-doc-david-chao --live-youtube --youtube-url ""PASTE_URL_HERE"""
10,2026-07-22,The Favorites,2026 NFL Quarterback Rankings | Part 2,,Needed,,No,,"node scripts\gemini-podcast-shadow-harness.js --episode 2026-07-22-the-favorites-2026-nfl-quarterback-rankings-part-2 --live-youtube --youtube-url ""PASTE_URL_HERE"""
11,2026-07-21,The Favorites,2026 NFL Quarterback Rankings | Part 1,,Needed,,No,,"node scripts\gemini-podcast-shadow-harness.js --episode 2026-07-21-the-favorites-2026-nfl-quarterback-rankings-part-1 --live-youtube --youtube-url ""PASTE_URL_HERE"""
12,2026-05-21,Sharp or Square,NFL Schedule Release PART 1 with Warren Sharp,,Needed,,No,,"node scripts\gemini-podcast-shadow-harness.js --episode 2026-05-21-sharp-or-square-nfl-schedule-release-part-1-with-warren-sharp --live-youtube --youtube-url ""PASTE_URL_HERE"""
